idx,bbox,bbox_clamped,crop_shape,skip_reason,det_input_hw,polygon_count,persp_size,persp_crop_hw,rec_input_shape,logits_shape,needs_transpose,decoded_text,conf,fallback_used
0,"[772, 24, 911, 83]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
1,"[95, 62, 288, 173]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
2,"[725, 267, 862, 328]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
3,"[710, 334, 863, 424]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
4,"[590, 483, 847, 538]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
5,"[378, 494, 534, 602]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
6,"[399, 606, 516, 681]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
7,"[279, 776, 431, 896]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
8,"[736, 891, 1020, 974]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
9,"[570, 1013, 742, 1100]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
10,"[803, 1008, 979, 1126]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
11,"[336, 1005, 487, 1094]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
12,"[88, 1013, 279, 1127]",[],"(0, 0)",,"(0, 0)",0,"(0, 0)","(0, 0)",(),(),False,,0.0,False
